shipment_id,ship_no,capt_id,shipment_date,origin,destination,arrival_date
09-0001,25,001-25,2016-03-12,SEATTLE,BOSTON,2016-03-19
09-0002,1,004-03,2016-04-15,BOSTON,SINGAPORE,2016-04-20
09-0003,11,003-01,2016-06-01,BRAZIL,BOSTON,2016-06-07
09-0004,5,002-14,2016-07-10,LONDON,SEATTLE,2016-07-22
09-0005,1,002-15,2016-09-19,BOSTON,BRAZIL,2016-09-23
10-0001,1,001-23,2017-01-15,BOSTON,LONDON,2017-01-21
10-0002,5,001-01,2017-01-15,SEATTLE,LONDON,2017-01-21
10-0003,11,002-14,2017-01-18,BOSTON,LONDON,2017-01-30
10-0004,39,001-24,2017-03-13,BOSTON,LONDON,2017-03-18
11-0001,39,002-15,2018-06-10,BOSTON,BRAZIL,2018-06-14
11-0002,37,004-01,2018-07-15,BRAZIL,BOSTON,2018-07-19
11-0003,10,003-01,2018-08-20,BOSTON,SEATTLE,2018-08-31
11-0004,16,001-24,2018-09-01,SEATTLE,LONDON,2018-09-14
11-0005,5,004-02,2018-09-15,BOSTON,SEATTLE,2018-09-23
11-0006,6,003-02,2018-09-17,LONDON,SEATTLE,2018-09-28
